SEASON,TEAM ID,TEAM,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2013,11,HOU,2-0,2-0,1-1,1-0,1-1,1-0,2-1,2-2,0-1,2-1,,1-1,2-2,2-1,2-1,1-1,1-1,4-0,3-1,1-1,1-2,1-1,1-1,2-1,1-3,2-1,1-2,1-0,2-1,1-0
2013,12,IND,2-1,1-1,2-1,4-0,3-1,2-1,1-1,1-1,1-3,1-0,1-1,,0-1,2-0,2-0,1-3,1-3,2-0,0-2,2-1,2-0,3-0,3-1,1-1,1-1,1-0,1-0,1-3,1-1,2-0
2013,13,LAC,1-1,1-1,0-1,0-1,1-0,2-0,3-0,2-1,1-0,3-0,2-2,1-0,,2-2,2-1,2-0,0-2,2-1,3-1,1-0,3-1,2-0,1-1,2-2,3-0,1-2,3-1,2-0,1-2,2-0
2013,14,LAL,2-0,1-1,1-1,1-0,1-0,1-0,3-1,3-1,1-0,3-0,1-2,0-2,2-2,,3-1,2-0,1-1,1-0,4-0,2-0,3-1,1-1,1-1,3-0,2-1,2-1,3-0,0-2,3-0,1-0
2013,15,MEM,2-0,0-2,2-0,0-2,2-0,1-1,1-2,1-2,2-0,2-1,1-2,0-2,1-2,1-3,,1-1,1-1,3-0,0-3,1-0,2-1,0-2,0-1,3-1,1-1,1-3,2-2,0-1,1-3,2-0
2013,16,MIA,3-1,1-2,2-1,2-0,1-1,3-1,2-0,1-1,1-0,2-0,1-1,3-1,0-2,0-2,1-1,,2-1,0-2,1-1,1-1,1-1,3-1,3-1,1-1,1-1,1-1,1-1,2-1,1-1,3-1
2013,17,MIL,3-0,2-1,1-1,4-0,3-0,3-0,0-2,0-2,3-0,1-0,1-1,3-1,2-0,1-1,1-1,1-2,,2-0,2-0,3-0,2-0,4-0,2-1,1-1,2-0,2-0,1-1,2-1,1-1,3-0
2013,18,MIN,1-1,0-1,2-0,1-1,1-1,1-1,0-3,0-4,1-0,2-1,0-4,0-2,1-2,0-1,0-3,2-0,0-2,,1-2,,0-3,0-2,0-1,0-2,1-1,1-2,2-0,0-2,1-2,1-1
2013,19,NOP,,1-1,0-2,2-0,1-0,2-0,0-4,2-1,1-1,2-2,1-3,2-0,1-3,0-4,3-0,1-1,0-2,2-1,,1-0,0-4,0-2,0-1,1-1,4-0,1-2,0-2,0-2,1-3,1-0
2013,20,NYK,2-1,0-3,2-2,2-1,0-3,3-1,2-0,0-2,2-1,1-0,1-1,1-2,0-1,0-2,0-1,1-1,0-3,,0-1,,0-1,1-1,0-4,0-2,1-1,1-1,0-2,0-2,0-2,1-3
2013,21,OKC,1-0,1-1,1-0,2-0,1-0,2-0,1-1,1-2,2-0,3-0,2-1,0-2,1-3,1-3,1-2,1-1,0-2,3-0,4-0,1-0,,2-0,1-1,2-1,2-2,2-1,2-2,1-1,2-1,1-1
2013,22,ORL,2-2,0-3,3-1,1-0,2-0,3-0,0-2,0-2,1-1,1-1,1-1,0-3,0-2,1-1,2-0,1-3,0-4,2-0,2-0,1-1,0-2,,2-1,1-1,0-2,2-0,1-1,0-4,0-2,4-0
2013,23,PHI,2-1,3-1,3-1,2-0,1-0,3-1,0-2,1-1,3-0,1-1,1-1,1-3,1-1,1-1,1-0,1-3,1-2,1-0,1-0,4-0,1-1,1-2,,0-2,1-1,2-0,2-0,1-3,1-1,2-1
2013,24,PHO,1-1,1-1,1-1,1-0,2-0,,3-1,0-4,0-2,2-2,1-2,1-1,2-2,0-3,1-3,1-1,1-1,2-0,1-1,2-0,1-2,1-1,2-0,,2-2,2-2,1-2,0-2,1-1,1-1
2013,25,POR,1-1,0-2,1-1,2-0,1-0,0-1,2-2,1-3,1-0,2-1,3-1,1-1,0-3,1-2,1-1,1-1,0-2,1-1,0-4,1-1,2-2,2-0,1-1,2-2,,2-2,2-1,1-1,1-2,2-0
2013,26,SAC,1-0,1-1,0-2,1-1,0-2,,1-3,1-2,1-1,3-0,1-2,0-1,2-1,1-2,3-1,1-1,0-2,2-1,2-1,1-1,1-2,0-2,0-2,2-2,2-2,,1-2,0-2,1-2,2-0
2013,27,SAS,0-2,1-1,1-1,0-1,2-0,0-2,1-3,0-2,1-1,2-0,2-1,0-1,1-3,0-3,2-2,1-1,1-1,0-2,2-0,2-0,2-2,1-1,0-2,2-1,1-2,2-1,,1-1,3-1,1-1
2013,28,TOR,3-0,1-3,3-1,3-0,2-1,3-0,1-1,1-1,3-0,1-0,0-1,3-1,0-2,2-0,1-0,1-2,1-2,2-0,2-0,2-0,1-1,4-0,3-1,2-0,1-1,2-0,1-1,,2-0,2-0
2013,29,UTA,1-0,1-1,2-0,1-0,2-0,1-0,2-1,0-3,2-0,4-0,1-2,1-1,2-1,0-3,3-1,1-1,1-1,2-1,3-1,2-0,1-2,2-0,1-1,1-1,2-1,2-1,1-3,0-2,,2-0
2013,30,WAS,2-1,2-1,2-1,1-3,2-1,1-2,1-1,1-1,3-1,1-1,0-1,0-2,0-2,0-1,0-2,1-3,0-3,1-1,0-1,3-1,1-1,0-4,1-2,1-1,0-2,0-2,1-1,0-2,0-2,
